id,cryptocurrency,platform,lossCrypto,lossUSD,date,typeOfAttack,source,,,,,,,headline,leadParagraph
a1,Bitcoin,,184 billion BTC,14700000000,2010-08-15,Hack (no losses in the end - should we remove this?),http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a2,Bitcoin,BitFloor,"24,000 BTC",160320,2012-06-01,Hack,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency,,,,,,,A history of bitcoin hacks,"The alternative currency has been plagued by hacks, ponzi schemes and increasingly professional thefts since 2011, explains Alex Hern"
a3,Bitcoin,MyBitcoin,"154,406 BTC",2000000,2011-08-08,Hack,http://observer.com/2011/08/mybitcoin-spokesman-finally-comes-forward-what-did-you-think-we-did-after-the-hack-we-got-shitfaced/,,,,,,,"MyBitcoin Spokesman Finally Comes Forward: ""What Did You think We Did After the Hack? We Got Shitfaced""","The popular Bitcoin transaction processor that disappeared from the internet about 10 days ago, taking at least tens of thousands of Bitcoins in user deposits with it, has been communicating via statements posted to the site. In essence: We screwed up. We were hacked. We have enough BTC to refund some of the lost Bitcoins, and then we’re done. “It appears to be human error combined with a misunderstanding of how Bitcoin secures transactions into the next block,” the most recent statement says by way of explanation."
a4,Bitcoin,Bitcoin7,5000 BTC,25150,2011-10-05,Hack*,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/,,,,,,,The Bitcoin Exchange Thefts You May Have Forgotten,"Cryptocurrency exchange losses have been a nuisance since Bitcoin was first created. Many remember the loss of roughly 850,000 BTC in the demise of Mt Gox and the most recent 120,000 BTC Bitfinex compromise. However, over the course of the past eight years there has been various exchange hacks and/or inside jobs."
a5,Bitcoin,Bitcoinica,"46,700 BTC",228000,2012-03-01,Hacked,https://arstechnica.com/information-technology/2012/03/bitcoins-worth-228000-stolen-from-customers-of-hacked-webhost/,,,,,,,"Bitcoins worth $228,000 stolen from customers of hacked Webhost","Online bandits made off with at least $228,000 worth of the virtual currency known as Bitcoin after exploiting a vulnerability in a widely used Webhost that gave unfettered access to eight victim's digital wallets."
a6,Bitcoin,Bitcoinica,"38,000 BTC",186000,2012-05-12,Hacked,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/,,,,,,,The Bitcoin Exchange Thefts You May Have Forgotten,"Cryptocurrency exchange losses have been a nuisance since Bitcoin was first created. Many remember the loss of roughly 850,000 BTC in the demise of Mt Gox and the most recent 120,000 BTC Bitfinex compromise. However, over the course of the past eight years there has been various exchange hacks and/or inside jobs."
a7,Bitcoin,Bitcoin Saving and Trust,"700,000 BTC",9100000,2012-08-17,Ponzi scheme,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency,,,,,,,A history of bitcoin hacks,"The alternative currency has been plagued by hacks, ponzi schemes and increasingly professional thefts since 2011, explains Alex Hern"
a8,Bitcoin,Bitfloor,24086 BTC,250000,2012-09-04,Hack,http://www.bbc.com/news/technology-19486695,,,,,,,Bitcoin theft causes Bitfloor exchange to go offline,"One of the biggest Bitcoin currency exchanges has been taken offline after 24,000 units ($250,000; £157,800) of the virtual currency were stolen from its computer servers."
a9,Bitcoin,Inputs.io,4100 BTC,1000000,2013-10-26,Hack,https://www.theguardian.com/technology/2013/nov/08/hackers-steal-1m-from-bitcoin-tradefortress-site,,,,,,,Bitcoin site Inputs.io loses £1m after hackers strike twice,"Inputs.io, run by a developer known as TradeFortress, waits two weeks to report loss of 4,100 Bitcoins in two separate hacks to its customers"
a10,Bitcoin,Picostocks,6000 BTC,500000,2013-11-29,Hack,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency,,,,,,,A history of bitcoin hacks,"The alternative currency has been plagued by hacks, ponzi schemes and increasingly professional thefts since 2011, explains Alex Hern"
a11,Bitcoin,BIPS,1300 BTC,1000000,2013-12-22,Hack,https://thehackernews.com/2013/11/danish-bitcoin-exchange-bips-hacked-and_25.html,,,,,,,"Danish Bitcoin exchange BIPS hacked and 1,295 Bitcoins worth $1 Million Stolen","The breaking news is that, another Bitcoin exchange company gets hacked i.e. BIPS (bips.me), one of the largest European Danish Bitcoin payment processors."
a12,Bitcoin,Mycoin,"750,000 BTC",397000000,2014-02-07,Hack,https://www.ccn.com/hong-kong-bitcoin-exchange-mycoin-lost-387-million-customers-money/,,,,,,,Hong Kong Bitcoin Exchange MyCoin “Lost” $387 Million of Customers’ Money,"Reports out of Hong Kong indicate that the MyCoin Exchange has just closed, locking out more than three thousand large investors. The closure has occurred almost one year to the day after the world’s largest Bitcoin exchange, Mt. Gox, closed off all exchange withdrawals on February 7th, 2014. That took almost 750,000 investor’s Bitcoins with it, plus 100k of the exchange’s cache. This sudden exchange closure has a potential combined value of three billion Hong Kong Dollars, which is equivalent to about $387 Million USD.

"
a13,Bitcoin,Mt. Gox,"850,000 BTC",473000000,2014-03-01,Hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a14,VeriCoin,MintPal,"800,0000 VRC",2000000,2014-06-13,Hack,https://www.coindesk.com/bitcoin-protected-vericoin-stolen-mintpal-wallet-breach/,,,,,,,8 Million Vericoin Hack Prompts Hard Fork to Recover Funds,Digital currency exchange platform MintPal has suffered a successful hack attack that resulted in the loss millions of vericoins from its hot wallet.
a15,Bitcoin,Primedice,"2,110 BTC",1000000,2014-09-01,Scam,https://www.ccn.com/player-cheated-online-bitcoin-gaming-site-1-million-reward-offered-help/,,,,,,,How a Player Cheated an Online Bitcoin Gaming Site for $1 Million: Reward Offered for Help,"Primedice, an online gaming site, learned a hard lesson when it lost $1 million in bitcoin to a hacker that exploited its RNG (random number generation) system last year. The company recently shared its experience on Medium, a website where people share stories. Stunna, the author of the story said the company wanted to share its experience so that others can learn from it."
a16,Bitcoin,MintPal,3700 BTC,2600000,2014-10-15,Scam,https://siliconangle.com/blog/2015/02/23/mintpal-scammer-ryan-kennedy-arrested-in-u-k-over-theft-of-3700-bitcoins/,,,,,,,Mintpal scammer Ryan Kennedy arrested in U.K over theft of 3.700 Bitcoins,"Former Moolah CEO Ryan Kennedy has been arrested over the theft of 3,700 Bitcoins from the now defunct Bitcoin exchange Mintpal."
a17,Bitcoin,Savings and Trust,"764,000 BTC",4500000,2014-11-06,Ponzi scheme,https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-and-fbi-assistant-director-announce-securities-and-wire-fraud,,,,,,,Manhattan U.S Attorney And FBI Assistant Director Announce Securities And Wire Fraud Charges Against Texas Man for Running Bitcoin Ponzi Scheme,Charges Against Trendon Shavers Represent First Federal Criminal Securities Fraud Charges Involving A Bitcoin-Related Scheme
a18,Bitcoin,BitPay,"5,450 BTC",1800000,2014-12-12,Hack ,https://www.bizjournals.com/atlanta/blog/atlantech/2015/09/atlantas-bitpay-got-hacked-for-1-8-million-in.html,,,,,,,Atlanta's Bitpay got hacked for $1.8 million in bitcoins,Atlanta's Bitpay Inc. got hacked for more than $1.8 million in bitcoins.
a19,Bitcoin,Bitstamp,"19,000 BTC",5100000,2015-01-01,Hack (Duplicate most likely),http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a21,Bitcoin,BTC-E,2230 BTC,500000,2015-01-14,Scam,https://www.ccn.com/bitcoin-ponzi-cryptodouble-disappears-least-2233-bitcoins/,,,,,,,Bitcoin Ponzi CryptoDouble Disappears With At Least 2233 Bitcoins,"Bitcoins are back. CryptoDouble, a website founded on the promise of doubling its users' deposists within 100 hours, ceased all its operations. At least 2233 BTC (about $500,000) have been cashed out on BTC-E, leaving thousands of customers out of pocket."
a22,Bitcoin,,"2,135 BTC",9182000,2016-06-01,Ponzi scheme,https://news.bitcoin.com/josh-garza-held-liable-9-million-usd-wire-fraud/,,,,,,,GAW/Paycoin CEO Josh Garza Held Liable for $9 Million USD for Wire Fraud,"Homero Josh Garza has been held liable for $9,182,00 USD by a US federal judge. Garza pleaded guilty to one charge of wire fraud for activities relating to Gaw, Gaw Miners, Zenminer, Zencoin and Paycoin in July."
a23,Ethereum,DAO,"71,430,000 ETH",50000000,2016-06-01,Hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a24,Steem,Steemit,"20,680 SBD",85000,2016-07-01,hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a25,bitcoin,Bitfinex,"120,000 BTC",66000000,2016-08-02,hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a26,Bitcoin,,12 BTC,8450,2016-11-03,Fraud,https://mainichi.jp/english/articles/20161104/p2a/00m/0na/009000c,,,,,,,3 arrested over Bitcoin fraud in Japan first,"Three men were arrested by the Metropolitan Police Department (MPD)'s cybercrime division on Nov. 3 on suspicion of defrauding the digital currency trading service Bitcoin -- the first such arrest in Japan, according to the MPD."
a27,Bitcoin,Wannacry,636 BTC,140000,2017-05-12,Ransomeware,https://www.ccn.com/wannacry-extortionists-ill-gotten-bitcoins-are-on-the-move/,,,,,,,WannaCry Extortionists’ Ill-Gotten Bitcoins Are on the Move,"Back in May, a global bitcoin extorting ransomware campaign was launched using the WannaCry ransomware strain. The attack managed to infect thousands of computers all over the world, including those belonging to 48 hospitals in the U.K. It was able to exploit a Windows vulnerability that had been leaked in April, and used a hacking tool believed to be stolen from the National Security Agency (NSA)."
a28,Bitcoin,,13BTC,36000,2017-06-07,Hack/Malware,https://www.ccn.com/malware-snatches-13btc-36000-bitcoin-user/,,,,,,,"Malware Snatches 13BTC ($36,000) From Bitcoin User.","It can never be said too often, but the prevalence of malware on the Internet, especially malware targeting Bitcoin and other financial software, makes it extra important today: you can never be too careful when sending Bitcoin transactions. A Reddit user today lost 13BTC, or around $36,000, when he pasted an address from his clipboard that was not the appropriate address."
a29,Ethereum,Coindash,"24,100 ETH",7000000,2017-07-01,Hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a30,OneCoin,,"4,752 BTC",12000000,2017-07-10,Ponzi scheme,https://www.ccn.com/indian-police-label-12-million-onecoin-operation-a-clear-ponzi-scheme/,,,,,,,Indian Police Label $12 Million OneCoin Operation a ‘Clear Ponzi Scheme’,"Further details from a police charge sheet have emerged during the ongoing crackdown against OneCoin in India, a purported digital currency scheme widely seen as a scam."
a31,Ethereum,Parity Multisig Wallet,"144,800 ETH",32000000,2017-07-19,Hack,https://www.benzinga.com/fintech/17/11/10824764/12-biggest-cryptocurrency-hacks-in-history,,,,,,,12 Biggest Cryptocurrency Hacks In History,"The price of Bitcoin bounced back to make new all-time highs on Tuesday after briefly dipping below $8,000 following a massive security breach at a rival cryptocurrency. On Tuesday, Tether reported that more than $30 million in digital coins had been stolen by hackers."
a32,Ethereum,,"153,000 ETH",31000000,2017-07-20,Hack,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/,,,,,,,Top 5 Cryptocurrency Hacks of All Time,"Cryptocurrency is so alluring. It’s like gold in the Wild, Wild West. It attracts the best and worst of humanity. It carries the promise of riches and freedom beyond your wildest imagination. With this promise, there is an opportunity for criminals to make millions of quick bucks through easy robbery, and not get shot (or hanged) for it. Hell, if they can safely launder the money, they may never get caught. In the crypto world, modern-day highwaymen are black-hat hackers. Here are 5 of their biggest heists:"
a33,VeriCoin,,"36,000 VERI",8000000,2017-07-23,Hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a34,Bitcoin,BTC-e,"2,000,000 BTC",4000000,2017-07-26,Scam,https://www.ccn.com/alleged-btc-e-admin-arrested-for-laundering-4-billion-in-bitcoin/,,,,,,,BREAKING: Alleged BTC-E Admin Arrested for Laundering $4 Billion in Bitcoin,"According to Reuters, Greek police, in cooperation with U.S. authorities, recently arrested a Russian man, 38-year-old Alexander Vinnik, for laundering at least $4 billion of ill-gotten money using bitcoin."
a35,Ethereum,Enigma ICO ,"1,500 ETH",500000,2017-08-01,Hack,http://storeofvalueblog.com/posts/cryptocurrency-hacks-so-far-august-24th/,,,,,,,List Of High Profile Cryptocurrency Hacks So Far (August 24th 2017),"There’s been quite a few large, high profile cryptocurrency hacks over the past few years. Hundreds of millions of dollars have been stolen. Although blockchain technology is fundamentally more secure than centralized database systems, the ecosystem is still incredibly young and poor programming practices create many security vulnerabilities, especially with systems built around blockchains.
Here’s a list of some of the largest cryptocurrency hacks so far."
a36,Tether,,"30,900,000 USDT",30900000,2017-11-19,Hack,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/,,,,,,,Top 5 Cryptocurrency Hacks of All Time,"Cryptocurrency is so alluring. It’s like gold in the Wild, Wild West. It attracts the best and worst of humanity. It carries the promise of riches and freedom beyond your wildest imagination. With this promise, there is an opportunity for criminals to make millions of quick bucks through easy robbery, and not get shot (or hanged) for it. Hell, if they can safely launder the money, they may never get caught. In the crypto world, modern-day highwaymen are black-hat hackers. Here are 5 of their biggest heists:"
a37,Bitcoin,Confido,53 BTC,375000,2017-11-21,Ponzi scheme,https://www.99crypto.com/list-of-cryptocurrency-scams/,,,,,,,List of Cryptocurrency Scams & Hacks: ICO Scams and Crypto Fraud Run Rampant,"On Monday, December 4th the US Securities and Exchange Commission fired the first shots in what many expect to be a period of renewed regulatory enforcement in the crypto space. The SEC’s new Cyber Unit engaged an emergency asset freeze against PlexCorps, the group behind PlexCoin. PlexCoin’s recent ICO raised $15 million after promising investors an extravagant 13-fold return on investment in a mere 29 days—a clear violation of US Securities law and a major red flag for fraudulent activity."
a38,Bitcoin,,"4,700 BTC",38000000,2017-11-22,Ponzi scheme,https://www.ccn.com/38-million-south-korean-bitcoin-scam-group-arrested/,,,,,,,South Korean Police Bust $38 Million Bitcoin Ponzi Scam,"Seven individuals in the South Korean province of Jeonbuk have been arrested for running a large-scale $38 million scam, alluring middle-aged investors into a ponzi scheme."
a39,Bitcoin,NiceHash,4736.42 BTC,56430000,2017-12-06,Hack,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/,,,,,,,Top 5 Cryptocurrency Hacks of All Time,"Cryptocurrency is so alluring. It’s like gold in the Wild, Wild West. It attracts the best and worst of humanity. It carries the promise of riches and freedom beyond your wildest imagination. With this promise, there is an opportunity for criminals to make millions of quick bucks through easy robbery, and not get shot (or hanged) for it. Hell, if they can safely launder the money, they may never get caught.
In the crypto world, modern-day highwaymen are black-hat hackers.
Here are 5 of their biggest heists:
"
a40,Ethereum,Mining Max,"367,100 ETH",250000000,2017-12-22,Scam,https://www.ccn.com/250-million-ethereum-mining-scam-korean-prosecutors-file-charges/,,,,,,,$250 Million Ethereum Mining Scam? Korean Prosecutors File Charges,"Korean prosecutors have reportedly filed charges against several individuals associated with Mining Max, US-based cryptocurrency mining firm allegedly behind a major cryptocurrency mining scam."
a41,BitConnectCoin,BitConnect,"8,997,000 BCC",2600000000,2018-01-16,Ponzi scheme,https://thenextweb.com/hardfork/2018/01/17/bitconnect-bitcoin-scam-cryptocurrency/,,,,,,,How BitConnect pulled the biggest exit scheme in crptocurrency,"In a menacing turn of events yesterday, Bitcoin investment lending platform BitConnect abruptly announced it is shutting down its lending and exchange serveces. But while this sudden ""curveball"" might have come asa massive surpirse for thousands of gullible investors, the writing was on the wall all along."
a42,Ethereum,Prodeum,"110,000 ETH",11000000,2018-01-18,Scam,http://www.businessinsider.de/cryptocurrencty-and-blockchain-startup-prodeum-pulled-an-exit-scam-2018-1?r=US&IR=T,,,,,,,Prodeum crypto scammers allegedly stole its teams' identities before vanishing and leaving only a website with the word 'penis',"Three blockchain experts lineked to an illegitimate startup called Prodeum told Business Insider they have nothing to do with the organization and are victims of identity theft. The startup, Prodeum, raised $11m in an online fundraiser before disappearing on Sudnay. Prodeum's website went blank late Sunday aside for the text ""penis"" in the upper-left corner."
a43,IOTA,,"1,818,000 MIOTA",4000000,2018-01-22,Hack,https://news.bitcoin.com/iota-attacked-for-subpar-wallet-security-following-4m-hack/,,,,,,,IOTA Attacked for Subpar Wallet Security Following $4m Hack,The IOTA project is again the target of public anger and criticism. This time the issue is a feature of the technology that apparently allowed scammers to steal around $4 million from many unsuspecting users.
a44,NEM,CoinCheck,"170,588,000 XEM",400000000,2018-01-26,Hack,https://gizmodo.com/400-million-goes-missing-from-japanese-crypto-exchange-1822454084,,,,,,,$400 Million Goes Missing From Japanese Crypto Exchange Coincheck,"Through means currently unknown, approximately 500 million NEM tokens were exfiltrated from leading Japanese cryptocurrency exchange Coincheck, valued at approximately $400 million. Bloomberg reports that, aside from Bitcoin, all trading on the platform has been suspended."
a45,Ethereum,,"2,574 ETH",2000000,2018-02-05,Scam,https://www.ccn.com/impersonators-scam-seele-ico-investors-out-of-2-million-worth-of-ether/,,,,,,,Impersonators Scam Seele ICO Investors out of $2 Million in Ethereum,"Potential Seele ICO investors were recently scammed out of nearly $2 million by impersonators posing as admins, who used the company’s Telegram channel to get them to send their money over before the token sale began."
a46,Bitcoin,,"12,000 BTC",115000000,2018-02-15,Scam,https://www.ccn.com/austrian-bitcoin-scam-10000-victims-lose-12000-btc-115-million/,,,,,,,"Austrian Bitcoin Scam: 10,000 Victims Lose 12,000 BTC ($115 Million)",An alleged scam involving investments in bitcoin in Austria has reportedly affected over ten thousand investors in the country and around Europe.