cryptocurrency,platform,lossCrypto,lossUSD,date,typeOfAttack,source
Bitcoin,NiceHash,"4736.42",36707.255,2011-08-08,Hack,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/
Bitcoin,Bitfinex,"119756.00",583211.72,2011-10-05,Hack,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/
Bitcoin,Mt. Gox,"744408.00",3684819.6,2012-03-01,Hack,https://99bitcoins.com/top-5-cryptocurrency-hacks-of-all-time/
Bitcoin,Confido,"375000.00",1856250,2012-05-12,Ponzi scheme,https://www.99crypto.com/list-of-cryptocurrency-scams/
Bitcoin,Bitcoin Savings & Trust,"150000.00",1737000,2012-08-17,Ponzi scheme,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency
Bitcoin,Bitcoinica,"46703.00",8215057.7,2013-10-26,Hack,https://arstechnica.com/information-technology/2012/03/bitcoins-worth-228000-stolen-from-customers-of-hacked-webhost/
Bitcoin,Bitcoinica,"38000.00",42575200,2013-11-29,Hack,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/
Bitcoin,BitFloor,"24086.00",14880812.52,2013-12-22,Hack,https://www.theguardian.com/technology/2014/mar/18/history-of-bitcoin-hacks-alternative-currency
Bitcoin,Inputs.io,"4100.00",2449463,2014-06-13,Hack,https://www.theguardian.com/technology/2013/nov/08/hackers-steal-1m-from-bitcoin-tradefortress-site
Bitcoin,BIPS,"1295.00",507432.8,2014-10-15,Hack,https://thehackernews.com/2013/11/danish-bitcoin-exchange-bips-hacked-and_25.html
Bitcoin,PicoStocks,"6000.00",1581780,2015-01-04,Hack,https://bitcointalk.org/index.php?topic=576337#post_toc_58
Bitcoin,MyBitcoin,"154406.00",87279535.56,2016-08-03,Hack,http://observer.com/2011/08/mybitcoin-spokesman-finally-comes-forward-what-did-you-think-we-did-after-the-hack-we-got-shitfaced/
Bitcoin,Bitstamp,"19000.00",10988080,2016-08-04,Hack,https://arstechnica.com/information-technology/2015/01/bitcoin-exchange-bitstamp-claims-hack-siphoned-up-to-5-2-million/
Bitcoin,Bitfinex,"120000.00",342360000,2017-07-20,Hack,https://arstechnica.com/information-technology/2016/08/bitcoin-value-falls-off-cliff-after-58m-in-btc-stolen-in-hong-kong-exchange-hack/
Bitcoin,Bitcoin7,"5000.00",53860750,2018-01-22,Hack*,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/
Bitcoin,MintPal,"3894.00",43184693.64,2018-01-26,Scam,https://siliconangle.com/blog/2015/02/23/mintpal-scammer-ryan-kennedy-arrested-in-u-k-over-theft-of-3700-bitcoins/
Ethereum,MintPal,"3894.00",43184693.64,2018-01-26,Scam,https://siliconangle.com/blog/2015/02/23/mintpal-scammer-ryan-kennedy-arrested-in-u-k-over-theft-of-3700-bitcoins/
Ripple,MintPal,"3894.00",43184693.64,2018-01-26,Scam,https://siliconangle.com/blog/2015/02/23/mintpal-scammer-ryan-kennedy-arrested-in-u-k-over-theft-of-3700-bitcoins/